"period_start","max_WHT","scaled_time"
2015-10-12,1.13,1.78033415502602
2015-10-15,1.18,1.78855108189537
2015-10-18,4.01,1.79676800876472
2015-10-21,3.37,1.80498493563407
2015-10-24,2.24,1.81320186250342
2015-10-27,2.75,1.82141878937277
2015-10-30,1.92,1.82963571624213
2015-11-02,2.15,1.83785264311148
2015-11-05,2.67,1.84606956998083
2015-11-08,2.09,1.85428649685018
2015-11-11,2.18,1.86250342371953
2015-11-14,2.39,1.87072035058888
2015-11-17,3.61,1.87893727745823
2015-11-20,3.82,1.88715420432758
2015-11-23,4.19,1.89537113119693
2015-11-26,4.11,1.90358805806628
2015-11-29,2.05,1.91180498493563
2015-12-02,1.8,1.92002191180499
2015-12-05,2.58,1.92823883867434
2015-12-08,2.71,1.93645576554369
2015-12-11,2.75,1.94467269241304
2015-12-14,1.9,1.95288961928239
2015-12-17,2.37,1.96110654615174
2015-12-20,3.26,1.96932347302109
2015-12-23,2.96,1.97754039989044
2015-12-26,2.25,1.98575732675979
2015-12-29,2.12,1.99397425362914
2015-12-31,1.97,1.99945220487538
2016-01-03,4.94,2.00766913174473
2016-01-06,4.07,2.01588605861408
2016-01-09,5.67,2.02410298548343
2016-01-12,3.31,2.03231991235278
2016-01-15,2.41,2.04053683922213
2016-01-18,4.5,2.04875376609148
2016-01-21,4.06,2.05697069296083
2016-01-24,5.19,2.06518761983018
2016-01-27,3.27,2.07340454669953
2016-01-30,4.47,2.08162147356889
2016-02-02,4.29,2.08983840043824
2016-02-05,3.15,2.09805532730759
2016-02-08,5.15,2.10627225417694
2016-02-11,3.68,2.11448918104629
2016-02-14,4.16,2.12270610791564
2016-02-17,4.28,2.13092303478499
2016-02-20,4.25,2.13913996165434
2016-02-23,2.16,2.14735688852369
2016-02-26,2.65,2.15557381539304
2016-02-29,1.98,2.16379074226239
2016-03-03,3.72,2.17200766913174
2016-03-06,3.89,2.1802245960011
2016-03-09,3.36,2.18844152287045
2016-03-12,1.89,2.1966584497398
2016-03-15,3.23,2.20487537660915
2016-03-18,1.82,2.2130923034785
2016-03-21,2.87,2.22130923034785
2016-03-24,2.29,2.2295261572172
2016-03-27,2.03,2.23774308408655
2016-03-30,2.84,2.2459600109559
2016-04-02,3.19,2.25417693782525
2016-04-05,4.89,2.2623938646946
2016-04-08,2.84,2.27061079156396
2016-04-11,2.45,2.27882771843331
2016-04-14,2.49,2.28704464530266
2016-04-17,3.26,2.29526157217201
2016-04-20,3.27,2.30347849904136
2016-04-23,3.53,2.31169542591071
2016-04-26,2.32,2.31991235278006
2016-04-29,1.47,2.32812927964941
2016-05-02,1.75,2.33634620651876
2016-05-05,2.83,2.34456313338811
2016-05-08,2.42,2.35278006025746
2016-05-11,1.26,2.36099698712681
2016-05-14,1.05,2.36921391399617
2016-05-17,1.55,2.37743084086552
2016-05-20,1.6,2.38564776773487
2016-05-23,1.74,2.39386469460422
2016-05-26,1.63,2.40208162147357
2016-05-29,1.66,2.41029854834292
2016-06-01,1.94,2.41851547521227
2016-06-04,1.16,2.42673240208162
2016-06-07,1.81,2.43494932895097
2016-06-10,2.31,2.44316625582032
2016-06-13,2.04,2.45138318268967
2016-06-16,2.15,2.45960010955902
2016-06-19,1.79,2.46781703642838
2016-06-22,1.44,2.47603396329773
2016-06-25,1.63,2.48425089016708
2016-06-28,1.35,2.49246781703643
2016-07-01,1.29,2.50068474390578
2016-07-04,1.28,2.50890167077513
2016-07-07,1.23,2.51711859764448
2016-07-10,1.11,2.52533552451383
2016-07-13,1.04,2.53355245138318
2016-07-16,2.17,2.54176937825253
2016-07-19,1.99,2.54998630512188
2016-07-22,1.09,2.55820323199123
2016-07-25,1.04,2.56642015886059
2016-07-28,1.64,2.57463708572994
2016-07-31,1.63,2.58285401259929
2016-08-03,1.46,2.59107093946864
2016-08-06,1.58,2.59928786633799
2016-08-09,1.37,2.60750479320734
2016-08-12,1.3,2.61572172007669
2016-08-15,1.69,2.62393864694604
2016-08-18,1.18,2.63215557381539
2016-08-21,2.28,2.64037250068474
2016-08-24,1.86,2.6485894275541
2016-08-27,2.24,2.65680635442345
2016-08-30,1.17,2.6650232812928
2016-09-02,1.68,2.67324020816215
2016-09-05,1.96,2.6814571350315
2016-09-08,1.71,2.68967406190085
2016-09-11,2.09,2.6978909887702
2016-09-14,1.84,2.70610791563955
2016-09-17,1.76,2.7143248425089
2016-09-20,4.61,2.72254176937825
2016-09-23,3.02,2.7307586962476
2016-09-26,2.02,2.73897562311695
2016-09-29,2.11,2.74719254998631
2016-10-02,3.43,2.75540947685566
2016-10-05,3.79,2.76362640372501
2016-10-08,5.45,2.77184333059436
2016-10-11,3.76,2.78006025746371
2016-10-14,4.03,2.78827718433306
2016-10-17,3.86,2.79649411120241
2016-10-20,1.91,2.80471103807176
2016-10-23,2.99,2.81292796494111
